date,revenue,orders_count,units
2025-03-14,52017244.0,176,1070
2025-03-15,37960201.0,125,726
2025-03-16,36918386.0,129,698
2025-03-17,65876342.0,208,1174
2025-03-18,72794122.0,218,1443
2025-03-19,74499897.5,216,1505
2025-03-20,57251466.75,171,1195
2025-03-21,53186338.5,167,1269
2025-03-22,33061957.5,99,628
2025-03-23,19940346.9,61,359
2025-03-24,28160545.5,105,586
2025-03-25,49492631.5,173,1068
2025-03-26,55896599.5,172,1148
2025-03-27,58303111.95,172,1067
2025-03-28,59917036.0,167,1206
2025-03-29,39939997.0,126,748
2025-03-30,28069447.0,105,553
2025-03-31,79491454.0,243,1619
2025-04-01,65967016.0,224,1332
2025-04-02,62201051.75,222,1267
2025-04-03,79105750.0,228,1325
2025-04-04,53472256.5,159,1079
2025-04-05,32420588.0,115,591
2025-04-06,36911402.25,120,662
2025-04-07,66660517.5,219,1302
2025-04-08,46813186.2,152,838
2025-04-09,50433812.25,149,1012
2025-04-10,55541544.0,177,1150
2025-04-11,38348607.0,106,723
2025-04-12,39099050.75,112,737
2025-04-13,31044518.5,98,520
2025-04-14,48538537.63,142,787
2025-04-15,47055345.25,157,747
2025-04-16,41622016.0,133,776
2025-04-17,19226133.5,71,289
2025-04-18,29543617.5,104,428
2025-04-19,28144464.5,109,540
2025-04-20,28352565.5,98,405
2025-04-21,62457549.95,222,873
2025-04-22,68483238.5,232,1014
2025-04-23,47960091.75,151,660
2025-04-24,45363087.0,134,573
2025-04-25,44947277.5,154,545
2025-04-26,36673127.0,120,463
2025-04-27,29867431.45,109,412
2025-04-28,60095040.0,192,764
2025-04-29,65524309.5,192,960
2025-04-30,49102193.25,169,730
2025-05-01,42086379.2,136,499
2025-05-02,61361707.03,200,824
2025-05-03,41787831.0,144,574
2025-05-04,31911895.5,108,409
2025-05-05,56318445.5,173,741
2025-05-06,79771217.0,262,1038
2025-05-07,61892209.7,204,819
2025-05-08,58711400.5,180,993
2025-05-09,57946784.0,147,888
2025-05-10,42122457.0,131,640
2025-05-11,46163029.0,133,673
2025-05-12,72013530.0,240,1051
2025-05-13,70012756.0,198,1382
2025-05-14,53754359.9,172,748
2025-05-15,57587882.2,185,946
2025-05-16,64913278.11,188,941
2025-05-17,37085018.84,121,494
2025-05-18,48442640.52,144,675
2025-05-19,77466248.59,215,1152
2025-05-20,85578849.9,240,1215
2025-05-21,69915908.72,213,929
2025-05-22,69349913.68,194,1102
2025-05-23,51675155.78,144,983
2025-05-24,47840746.18,135,587
2025-05-25,30294357.56,91,402
2025-05-26,57540382.69,189,773
2025-05-27,75190000.97,208,1086
2025-05-28,79792536.94,234,961
2025-05-29,74371648.01,202,1157
2025-05-30,68828605.52,212,883
2025-05-31,47303221.0,145,669
2025-06-01,28708411.0,102,412
2025-06-02,45109033.75,144,655
2025-06-03,69249611.8,203,757
2025-06-04,73341934.2,223,867
2025-06-05,66255642.2,207,1030
2025-06-06,85195951.0,195,1185
2025-06-07,32484769.0,111,419
2025-06-08,33454103.0,107,420
2025-06-09,71791541.0,191,1064
2025-06-10,71596754.0,215,1084
2025-06-11,58412496.0,179,804
2025-06-12,60072372.6,165,997
2025-06-13,71069604.2,185,998
2025-06-14,49302153.0,152,648
2025-06-15,45969681.25,151,657
2025-06-16,87895744.3,270,1079
2025-06-17,90570084.0,241,1219
2025-06-18,73207029.0,230,971
2025-06-19,82945333.1,235,1117
2025-06-20,73299583.5,215,1116
2025-06-21,37706359.5,106,556
2025-06-22,25075234.8,77,296
2025-06-23,48903961.5,151,614
2025-06-24,67458828.8,184,840
2025-06-25,67564429.6,206,738
2025-06-26,65671991.0,203,828
2025-06-27,67551801.4,197,828
2025-06-28,50264465.0,141,529
2025-06-29,29763669.4,99,335
2025-06-30,38867061.2,138,459
2025-07-01,95410751.4,281,1194
2025-07-02,79369223.2,258,1014
2025-07-03,69132256.6,207,834
2025-07-04,65226218.0,184,881
2025-07-05,49193948.0,133,675
2025-07-06,33561356.0,116,461
2025-07-07,73022635.0,233,903
2025-07-08,83598546.2,261,973
2025-07-09,74784256.0,209,924
2025-07-10,65548618.6,175,746
2025-07-11,70776743.0,191,882
2025-07-12,52239079.0,129,840
2025-07-13,36253922.0,124,396
2025-07-14,68253243.4,203,938
2025-07-15,77417291.0,253,901
2025-07-16,78451912.6,229,1168
2025-07-17,80904419.2,212,1002
2025-07-18,45775170.0,145,662
2025-07-19,41703997.2,103,559
2025-07-20,29084424.0,96,365
2025-07-21,66634074.2,222,725
2025-07-22,66828886.0,213,750
2025-07-23,58828022.0,185,729
2025-07-24,78838108.0,211,1096
2025-07-25,48450795.4,149,740
2025-07-26,30720789.2,106,453
2025-07-27,29019811.2,95,299
2025-07-28,58194551.2,191,749
2025-07-29,69035755.4,215,701
2025-07-30,75995085.2,230,1092
2025-07-31,68038368.0,199,1042
2025-08-01,68941999.2,190,902
2025-08-02,45419041.0,116,568
2025-08-03,27136285.0,98,294
2025-08-04,80488017.0,245,952
2025-08-05,78531137.0,222,929
2025-08-06,53441241.2,161,601
2025-08-07,35477052.0,120,468
2025-08-08,56448400.0,166,613
2025-08-09,39995048.0,102,513
2025-08-10,29458706.0,93,354
2025-08-11,64412656.0,170,701
2025-08-12,57622607.2,151,702
2025-08-13,68301382.0,186,904
2025-08-14,73178076.0,173,885
2025-08-15,57777303.2,145,993
2025-08-16,42909766.4,133,510
2025-08-17,20143539.0,68,205
2025-08-18,39256393.0,129,415
2025-08-19,63579148.2,184,736
2025-08-20,80039259.2,203,1035
2025-08-21,80363956.6,216,913
2025-08-22,60534458.0,167,717
2025-08-23,31047027.2,98,330
2025-08-24,26858319.0,79,287
2025-08-25,57748675.4,173,653
2025-08-26,55850676.0,170,855
2025-08-27,62138064.0,172,701
2025-08-28,55726243.8,169,715
2025-08-29,71788236.0,153,986
2025-08-30,34140637.2,107,401
2025-08-31,38501009.0,129,583
2025-09-01,63635239.0,211,844
2025-09-02,76139979.6,221,1027
2025-09-03,63842870.0,179,815
2025-09-04,57925326.2,152,666
2025-09-05,36323997.0,122,418
2025-09-06,34311942.0,100,332
2025-09-07,27803974.0,88,280
2025-09-08,71877047.0,177,819
2025-09-09,54362920.2,174,659
2025-09-10,48021284.4,140,478
2025-09-11,56690292.0,171,755
2025-09-12,49995072.0,124,644
2025-09-13,22834646.0,78,319
2025-09-14,22702134.2,79,259
2025-09-15,93255987.0,227,1039
2025-09-16,66785867.6,204,832
2025-09-17,65007665.6,190,797
2025-09-18,43466526.2,143,506
2025-09-19,48600023.4,141,615
2025-09-20,27661667.0,93,389
2025-09-21,26678938.0,82,317
2025-09-22,53593047.0,168,679
2025-09-23,70551151.2,186,678
2025-09-24,81703721.0,201,1161
2025-09-25,49603887.6,146,531
2025-09-26,45550950.0,146,496
2025-09-27,39677393.2,103,460
2025-09-28,33297529.0,100,341
2025-09-29,74848954.4,209,790
2025-09-30,77141317.0,221,1040
2025-10-01,70029718.4,211,827
2025-10-02,67866234.2,188,789
2025-10-03,47939804.4,147,568
2025-10-04,45230605.0,144,464
2025-10-05,34095134.0,100,315
2025-10-06,63115300.0,188,738
2025-10-07,67775925.2,184,930
2025-10-08,57014791.0,162,639
2025-10-09,55386914.4,171,604
2025-10-10,40343563.4,122,413
2025-10-11,31553909.4,91,409
2025-10-12,24551147.0,77,311
2025-10-13,27832419.0,93,408
2025-10-14,60883366.0,170,1013
2025-10-15,58251180.2,170,911
2025-10-16,52574208.2,162,751
2025-10-17,34126280.2,116,460
2025-10-18,42687890.0,114,546
2025-10-19,34659707.2,117,376
2025-10-20,51574319.0,138,678
2025-10-21,61412725.0,176,1015
2025-10-22,50847347.0,146,716
2025-10-23,43468134.0,133,464
2025-10-24,31157239.0,94,325
2025-10-25,33662149.0,92,548
2025-10-26,36080282.8,102,429
2025-10-27,71272991.0,189,897
2025-10-28,74122329.0,173,968
2025-10-29,46773620.2,136,512
2025-10-30,50427175.0,149,594
2025-10-31,47039009.0,123,614
2025-11-01,34448946.0,104,435
2025-11-02,20349128.0,67,267
